repo_id,repo_name,n_stars,n_stars_low_activity,n_stars_latest,p_stars_low_activity
,mandatelidi/GTA-V-Kiddions-Mod-Menu,152,152,,1.0
,dominik11farn/Wave-Executor,62,62,,1.0
,GrigoryiLeps/Deadlock-Cheat,52,52,,1.0
,daile89discoatoh/daile89discoatoh,93,93,,1.0
,AXSWQXZ/FiveM-Mod-Menu,93,93,,1.0
,dolleyswordsman876/dolleyswordsman8761,69,69,,1.0
,yvonne362/Front-Running-Bot,92,92,,1.0
,ProF21f/Pro,69,69,,1.0
,protajmipatcons/liabu,176,176,,1.0
,KrivolasO/Black-Ops-6-AI-AimBot,50,50,,1.0
,ttvwetboi/AutoCAD,52,52,,1.0
,mathside/cryptofeed,175,175,,1.0
,easefcialumat/Valorant-cheats-skin-changer,174,174,,1.0
,baigosotabti/resssmal,172,172,,1.0
,skaydacaifer/central,90,90,,1.0
,reikous/AutoCAD-Free,52,52,,1.0
,spxzzo/hummingbot,71,71,,1.0
,limangcolchiechron/astonium-cheat,178,178,,1.0
,reighpuy/Al-photoshop-2024,93,93,,1.0
,driedmouse74amaep/solara-roblox-executor,68,68,,1.0
,wringifritik3/solid-gigglee,119,119,,1.0
,reikous/IDM-Activator,63,63,,1.0
,nagibator13dadman/Roblox-Synapse-X,118,118,,1.0
,uffing-tvoridobro/adfh34563,96,96,,1.0
,WideOcelot1/KmsAUTO,118,118,,1.0
,tanlanglencontmoon/valorant-cheat,53,53,,1.0
,ham73730/Voicemod-Pro,118,118,,1.0
,NickFodos/UzaProject-v2.1,95,95,,1.0
,Enzo4845/AutoCAD,68,68,,1.0
,mathside/Solana-NFT-Market-Tools,95,95,,1.0
,Xanthy/sdfs555,66,66,,1.0
,dorabrandself29/photoshop,52,52,,1.0
,exepumpam/bestFORTNITE,67,67,,1.0
,sweetatdabackpriv/New-Fortnite-Skin-Swapper,67,67,,1.0
,brinkbreadsun/MemeFi-AB,50,50,,1.0
,andrangothinker-1992/FORTexe,72,72,,1.0
,Web3frost/AmlWeb3,50,50,,1.0
,ElFo2K/m0d,166,166,,1.0
,enixyqo/ETH-ARBITRAGE-MEV-BOT,83,83,,1.0
,blackblancakobra4/FORh4ck,136,136,,1.0
,mayfinviawima/seiku,149,149,,1.0
,mathside/MagicEden-minting-bot,149,149,,1.0
,SatoriRyuka/r0blox-synapse-x-free,84,84,,1.0
,SaggyintoIT/Aut0cad-free,79,79,,1.0
,zoziro/Fortnite-Free,84,84,,1.0
,CreepyCat01/Wondershare-Filmora,51,51,,1.0
,kennethguarzam/Pancakeswap-Sniper-Bot-Free-BSC-Sniper-Bot,85,85,,1.0
,shluvzm3/League-of-Legends-Script,140,140,,1.0
,Anxiii3ty/Findercryptofinder,80,80,,1.0
,REJIN21/Cs-2-hack,81,81,,1.0
,anvalotexe/sabza,142,142,,1.0
,hotstuff804/Roblox-Synapse-X,144,144,,1.0
,jessexe/Jessexe-WalletUnior-Tool,82,82,,1.0
,jpcguy38/Opensea-Automatic-Bulk-Upload,85,85,,1.0
,rayden30amya/-STALKER-2-Heart-of-Chornobyl-Crack,85,85,,1.0
,9587585737645376452764523674231/UzanProj,72,72,,1.0
,natika-art/Prediction-Bot-Automated-Prediction-Running-Bot,159,159,,1.0
,credmajukasrei/bolsfilk,165,165,,1.0
,vmer-6209/solara-executor-roblox,89,89,,1.0
,JHONNEX/ImmortaL-Cleaner,88,88,,1.0
,cendagithemost/persteab,161,161,,1.0
,lucasilmar/dmgunz,497,497,,1.0
,akeyali/Version-4.2,160,160,,1.0
,JHONNEX/ValorantCheat-External,51,51,,1.0
,downnecanemu/Rainbow-Six-SiegeAstonium,85,85,,1.0
,SPROKTAL/TikTokMassBotting,756,756,,1.0
,mk12mk/plast-Z,77,77,,1.0
,layflatdischdisrigh/VALORANT,134,134,,1.0
,VaxFeer/Binance-Trading-Bot,77,77,,1.0
,Healix-YT/Roblox-Lua-Exploit,78,78,,1.0
,cryptograbdev/drainer,135,135,,1.0
,deathless-lymu/Aqua-protocol-claimer,63,63,,1.0
,kalyanvss/Seed-Phase-Generator,69,69,,1.0
,Betulkkaya/Voicemod-pro,108,108,,1.0
,inopasblood1985/Canva,98,98,,1.0
,skenmaverig/solara-executor-free,53,53,,1.0
,asdasdadsdasd/sdaasfasdasf,57,57,,1.0
,elfriedal1981/Front-Running-Bot,108,108,,1.0
,xmas-Jeffers231/geoserver-config,55,55,,1.0
,vergessene/Library-Needle,358,358,,1.0
,TESTTEEST2/vlj8ab,56,56,,1.0
,lucasilmar/1.5,239,239,,1.0
,Mirokasu/Roblox-Blox-Fruits-Script-2024,58,58,,1.0
,Monica-Ray/Monica-Ray,59,59,,1.0
,davidcarter7609/VALORANT-HACK-AIMBOT-ESP-MORE-SKINCHANGER-More-functionality-Absolut,59,59,,1.0
,DcRatnik/Red,59,59,,1.0
,guimc233/Test_Config,114,114,,1.0
